functions,key steps,requirement,potential failure mode,potential effect(s) of failure,sev,class,diversity,potential cause(s) of failure,current design - controls prevention,current design occur,current design -controls detection,current design - detection,rpn,recommended action,responsibility &target completion date,action results - action taken&  completion date,action results - sev,action results - occur,action results -detec,action results - rpn,quality gate,remarks,iqf number
ens rr seat,fasteners,,over tightened,"1.screw broken
",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,5.0,80.0,available,,
ens rr seat,rr seat back rest,correct selection of part,wrong selection,"1,variant mismatch.",6,,,identification mark not available,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
ens rr seat,rr seat back rest,completely fixing of rr seat back rest,partial fixing with biw hook,"1.creep noise
2.part fall down
3.poor aesthtic (uneven gap)",4,,,operator not follow the work instruction(not ensure the click sound),operator training( ensure the click sound),3.0,visual inspection,8.0,96.0,,,,,,,,,,
ens rr seat,rr seat cushion,correct selection of part,wrong selection,"1,variant mismatch.",6,,,identification mark not available,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
ens rr seat,rr seat cushion,completely fixing of rr seat cushion,partial fixing of rr seat cushion,"1.wrinkle and sagging
2.poor aesthetic ( uneven gap between seat and qtr pillar)",6,,,operator not follow the work instruction,operator training,3.0,visual inspection,8.0,144.0,before instalation part to be checked,manufacturing team (balachandar; anoop kumar) & vrs 1.3,12/6/2021 0:00,8.0,3.0,4.0,96.0,,,
ens rr seat,fasteners,completely fixing of rr seat cushion fasteners,loose fitment ,"1.more vibration and creates rattle noise 
2.poor aesthetic ( uneven gap between seat and qtr pillar)",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,3.0,48.0,available,,
ens rr seat,fasteners,,over tightened,"1. screw broken
2. primery function can lose",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,3.0,48.0,available,,
ens rr seat,fasteners,completely fixing of rr seat cushion fasteners,loose fitment ,"1.more vibration and creates rattle noise 
2.poor aesthetic ( uneven gap between seat and qtr pillar)",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,5.0,80.0,available,,
ens rr seat,fasteners,,over tightened,"1.screw broken
",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,5.0,80.0,available,,
ens rr seat,rr seat back rest,correct selection of part,wrong selection,"1,variant mismatch.",6,,,identification mark not available,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
ens rr seat,rr seat back rest,completely fixing of rr seat back rest,partial fixing with biw hook,"1.creep noise
2.part fall down
3.poor aesthtic (uneven gap)",4,,,operator not follow the work instruction(not ensure the click sound),operator training( ensure the click sound),3.0,visual inspection,8.0,96.0,,,,,,,,,,
ens rr seat,rr seat cushion,correct selection of part,wrong selection,"1,variant mismatch.",6,,,identification mark not available,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
ens rr seat,rr seat cushion,completely fixing of rr seat cushion,partial fixing of rr seat cushion,"1.wrinkle and sagging
2.poor aesthetic ( uneven gap between seat and qtr pillar)",6,,,operator not follow the work instruction,operator training,3.0,visual inspection,8.0,144.0,before instalation part to be checked,manufacturing team (balachandar; anoop kumar) & vrs 1.3,12/6/2021 0:00,8.0,3.0,4.0,96.0,,,
ens rr seat,fasteners,completely fixing of rr seat cushion fasteners,loose fitment ,"1.more vibration and creates rattle noise 
2.poor aesthetic ( uneven gap between seat and qtr pillar)",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,3.0,48.0,available,,
ens rr seat,fasteners,,over tightened,"1. screw broken
2. primery function can lose",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,3.0,48.0,available,,
ens rr seat,fasteners,completely fixing of rr seat cushion fasteners,loose fitment ,"1.more vibration and creates rattle noise 
2.poor aesthetic ( uneven gap between seat and qtr pillar)",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,5.0,80.0,available,,
ens rr seat,fasteners,,over tightened,"1.screw broken
",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,5.0,80.0,available,,
ens rr seat,rr seat back rest,correct selection of part,wrong selection,"1,variant mismatch.",6,,,identification mark not available,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
ens rr seat,rr seat back rest,completely fixing of rr seat back rest,partial fixing with biw hook,"1.creep noise
2.part fall down
3.poor aesthtic (uneven gap)",4,,,operator not follow the work instruction(not ensure the click sound),operator training( ensure the click sound),3.0,visual inspection,8.0,96.0,,,,,,,,,,
glass tailgate,,,,,,,,,,,,,60.0,,,,,,,,,,
spare tire,,,,,,,,,,,,,60.0,,,,,,,,,,
spare tire,,,,,,,,,,,,,60.0,,,,,,,,,,
ass rh door latch,,,,,,,,,,,,,60.0,,,,,,,,,,
ass rh door latch,,,,,,,,,,,,,60.0,,,,,,,,,,
hand brake gaiter on hand lever, hand brake bezel,correct selection of part,not applicable,nil,5,,no,nil,no diversity,1.0,no diversity,1.0,5.0,,,,,,,,,,154.0
hand brake gaiter on hand lever, hand brake bezel,proper fixing of hand brake bezel,improper fixing( partially fitted),"1.clip broken
2.part fall down
3.poor aesthtic",5,,,operator not follow the work instruction( ensure the click sound),operator training,3.0,visual inspection,4.0,60.0,,,,,,,,,,
hand brake gaiter on hand lever, hand brake bezel,correct selection of part,not applicable,nil,5,,no,nil,no diversity,1.0,no diversity,1.0,5.0,,,,,,,,,,154.0
hand brake gaiter on hand lever, hand brake bezel,proper fixing of hand brake bezel,improper fixing( partially fitted),"1.clip broken
2.part fall down
3.poor aesthtic",5,,,operator not follow the work instruction( ensure the click sound),operator training,3.0,visual inspection,4.0,60.0,,,,,,,,,,
"rivet ave 4,8 d16 l16,5 alu tac",,,,,,,,,,,,,60.0,,,,,,,,,,
$vis kp cblx mtend 6 l20 ac znidn3l,,,,,,,,,,,,,60.0,,,,,,,,,,
$agr supp var 1t 28 1/4tour plas,,,,,,,,,,,,,60.0,,,,,,,,,,
ens rh quarter panel trim,qtr plr upr,correct selection of part,not applicable,nil,6,,no,nil,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
ens rh quarter panel trim,qtr plr upr,completely fixing of fr pillar ,partially fitted with panel,"1.clip broken
2.part fall down
3.poor aesthtic",4,,,operator not follow the work instruction( ensure the click sound),operator training and click sound,3.0,visual inspection,8.0,96.0,,,,,,,,,,
lh b pillar lower trim ens,fr plr trim,correct selection of part,not applicable,nil,6,,no,nil,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
lh b pillar lower trim ens,fr plr trim,completely fixing of fr pillar ,partially fitted with panel,"1.clip broken
2.part fall down
3.poor aesthtic",4,,,operator not follow the work instruction( ensure the click sound),operator training and click sound,3.0,visual inspection,8.0,96.0,,,,,,,,,,
torx head screw m6 x 100 l12 st8,,,,,,,,,,,,,60.0,,,,,,,,,,
torx head screw m6 x 100 l12 st8,,,,,,,,,,,,,60.0,,,,,,,,,,
dog point bolt m12 x 150 l80 st10,,,,,,,,,,,,,60.0,,,,,,,,,,
brake pipe clips -1 way stud mounted,,,,,,,,,,,,,60.0,,,,,,,,,,
electrical water pump support,,,,,,,,,,,,,60.0,,,,,,,,,,
clip_ cable holder,,,,,,,,,,,,,60.0,,,,,,,,,,
nut h bse m6x100 st8 z8fbr,,,,,,,,,,,,,60.0,,,,,,,,,,
nut h bse m6x100 st8 z8fbr,,,,,,,,,,,,,60.0,,,,,,,,,,
nut h bse m6x100 st8 z8fbr,,,,,,,,,,,,,60.0,,,,,,,,,,
nut h bse m6x100 st8 z8fbr,,,,,,,,,,,,,60.0,,,,,,,,,,
nut h bse m6x100 st8 z8fbr,,,,,,,,,,,,,60.0,,,,,,,,,,
nut h fwn m8x125 st8 znifbr,,,,,,,,,,,,,60.0,,,,,,,,,,
multifunction ctrl block,hvac ctrl,correct selection of part,not applicable,nil,5,,no,nil,no diversity,1.0,no diversity,1.0,5.0,,,,,,,,,,154.0
multifunction ctrl block,hvac ctrl,completely fix of bourdon cable,partial fix of bourden cable,"1.poor ac flow
",5,,,operator not follow the work instruction,operator training and orientation mark ,3.0,visual inspection,8.0,120.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,5.0,3.0,5.0,75.0,available,,
multifunction ctrl block,hvac ctrl,completely fix of hvac ctrl connector,partial fixing of hvac ctrl connector,functional failure and rattle noise,5,,,operator not follow the work instruction (ensure to hear click sound),operator training,3.0,visual inspection,8.0,120.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,5.0,3.0,5.0,75.0,,,
multifunction ctrl block,fasteners,completely fix of hvac ctrl fastener,partial fitment ,"1. rattle noise
2.part falldown
3. poor aesthitic",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
multifunction ctrl block,fasteners,,over tightened,"1. poor aesthitic ( more gap and flush)
2.screw and metal clip broken",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
nut h bse lock m m12x150 st10 z8fbr,,,,,,,,,,,,,60.0,,,,,,,,,,
nut h bse lock m m12x150 st10 z8fbr,,,,,,,,,,,,,60.0,,,,,,,,,,
nut h bse lock m m12x150 st10 z8fbr,,,,,,,,,,,,,60.0,,,,,,,,,,
nut h bse lock m m12x150 st10 z8fbr,,,,,,,,,,,,,60.0,,,,,,,,,,
handle ext door rh,rr handle,correct selection of part,wrong selection,"1,variant mismatch.",5,,no,identification mark not available,part identification sheet and operator training,3.0,visual inspection,7.0,105.0,,,,,,,,,,154.0
handle ext door rh,rr handle,completely fix of inside hadle cable hook,partial fix of inside hadle cable hook,"1. functional failure
2.rattle noise",5,,,operator not follow the work instruction,operator training,3.0,visual inspection,8.0,120.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,5.0,3.0,5.0,75.0,,,
handle ext door rh,rr handle,completely fix of inside handle in rr door trim,partial fix of inside handle in rr door trim,"1.poor aesthitic
2.rattle noise",5,,,operator not follow the work instruction (ensure the click sound),operator training,3.0,visual inspection,8.0,120.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,5.0,3.0,5.0,75.0,,,
handle ext door rh,grommet,completely fix of inside handle  grommet,partial fixing of inside handle  grommet,1.part falldown,5,,,operator not follow the work instruction (ensure the click sound),operator training,3.0,visual inspection,8.0,120.0,before instalation part to be checked,manufacturing team (balachandar; anoop kumar) & vrs 1.3,12/6/2021 0:00,5.0,3.0,5.0,75.0,,,
handle ext door rh,fasteners,proper fix of inside handle fastener,partial fitment ,"1. poor aesthitic ( more gap)
2.part falldown",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
handle ext door rh,fasteners,,over tightened,"1. poor aesthitic ( more gap and flush)
2.screw and metal clip broken",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
ens lh frt seat,fr seat,correct selection of part,wrong selection,"1,variant mismatch.",6,,yes,identification mark not available,select the right part,3.0,visual inspection,7.0,126.0,identification mark provided in part,design team (ramachandran; manoranjan) vrs1,,6.0,4.0,4.0,96.0,,,154.0
ens lh frt seat,fr seat,comletely fixing of fr seat,partial fixing of fr seat,"1. abnormal track movement
2.irregular seat recliner lock
3. creek noise
4.fastener damage",9,er4,,operator not follow the work instruction (ensure to hear click sound),".operator training
",3.0,"1.visual inspection
",8.0,216.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8.0,3.0,4.0,96.0,,,
